# Word1	Word2	Edit Distance
dollar	loss	0.25
computer	software	0.0
network	hardware	0.142857142857
phone	equipment	0.111111111111
equipment	maker	0.111111111111
luxury	car	0.0
five	month	0.0
report	gain	0.0
investor	earning	0.142857142857
liquid	water	0.0
baseball	season	0.0
game	victory	0.0
game	team	0.333333333333
marathon	sprint	0.142857142857
game	series	0.0
game	defeat	0.0
seven	series	0.2
seafood	sea	0.4
seafood	food	0.4
seafood	lobster	0.0
lobster	food	0.0
lobster	wine	0.0
food	preparation	0.0
video	archive	0.0
start	year	0.2
start	match	0.0
game	round	0.0
boxing	round	0.0
championship	tournament	0.1
fighting	defeating	0.571428571429
line	insurance	0.125
day	summer	0.0
summer	drought	0.0
summer	nature	0.25
day	dawn	0.333333333333
nature	environment	0.0909090909091
environment	ecology	0.181818181818
nature	man	0.0
man	woman	0.4
man	governor	0.166666666667
murder	manslaughter	0.25
soap	opera	0.0
opera	performance	0.222222222222
life	lesson	0.2
focus	life	0.0
production	crew	0.125
television	film	0.111111111111
lover	quarrel	0.0
viewer	serial	0.0
possibility	girl	0.1
population	development	0.181818181818
morality	importance	0.222222222222
morality	marriage	0.142857142857
mexico	brazil	0.0
gender	equality	0.0
change	attitude	0.0
family	planning	0.166666666667
opera	industry	0.125
sugar	approach	0.0
practice	institution	0.2
ministry	culture	0.0
problem	challenge	0.142857142857
size	prominence	0.0
country	citizen	0.0
planet	people	0.333333333333
development	issue	0.0
experience	music	0.0
music	project	0.142857142857
glass	metal	0.0
aluminum	metal	0.25
chance	credibility	0.0
exhibit	memorabilia	0.1
concert	virtuoso	0.0
rock	jazz	0.0
museum	theater	0.142857142857
observation	architecture	0.0
space	world	0.0
preservation	world	0.0
admission	ticket	0.285714285714
shower	thunderstorm	0.1
shower	flood	0.0
weather	forecast	0.0
disaster	area	0.0
governor	office	0.0
architecture	century	0.111111111111
