: homophones-analogy-type-I
caret carat manor manna
faille phial verses versus
chaise shays hoard horde
bogy bogey glair glare
farrow pharaoh tyre tier
serrate cerate dust dost
ceder cedar spits spitz
sense cense ferule ferrule
deprivation depravation tool tulle
presser pressor yack yak
phlox flocs herd heard
mow mot pensile pencel
swat swot tail taille
complaisant complacent wot what
marque mark sennit sennet
caddy caddie scend send
shear sheer toxin tocsin
carpel carpal pole poll
miner minor roos rues
bittern bitten phlox flocks
mutual mutuel uncal uncle
infusor infuser raise raze
cense scents coulee coulis
bays beys wite wight
flocs flocks sequents sequence
charred chard phew few
canopy canape mynah miner
curb kerb grisly gristly
sear sere pours paws
hawed horde woe whoa
quints quince which witch
bailor bailer brane brain
florescence fluorescence less loess
dough doh sibilants sibilance
dost dust waive wave
leys lase purse perse
lowed lode paschal pascal
sacs sax throne thrown
axle axil balm bomb
flyer flier whys wise
illusion allusion rose roes
grown groan rosery rosary
roes rows unreel unreal
martial marshal tolled told
bassist basest sennit sennet
bale bail pes pease
byte bite tix ticks
burley burly uncle uncal
auk orc variance variants
assistance assistants hough hock
praise preys tort taut
hair hare lee lea
bat batt mot mow
coquette coquet salter psalter
lase leis poor pour
cession session neep neap
innocence innocents penned pend
gored gorde pattern patten
juice dues phosphorous phosphorus
dents dense gin jinn
feral ferrule hurtle hurdle
lays leis watt what
cord chord pries prise
knob nob rigor rigger
mayor mare tide tied
erupt irrupt heard herd
flay fley vial viol
manna manner sow so
mare mayor wane wain
brays braze furs furze
dower dour feign fane
betel beetle khat cot
fennel phenyl for four
holm hom terce terse
guaranty guarantee racks wracks
cirrous serous phreak freak
site cite whine wine
fluorescents fluorescence gaud gourde
knead need purl pearl
formally formerly gourde gaud
ruse rues sleight slight
desert dessert wynd whined
beaut butte doe doh
flak flack nay neigh
cole coal gaze gays
equivalents equivalence plum plumb
col caul lacks lax
beat beet weaner wiener
haik hike whorled world
jive gyve heroine heroin
eyrie airy knob nob
nae neigh prior prier
ferrule feral six sics
codling coddling haze hays
adulteress adulterous assistance assistants
heir air spaed spade
faun fawn route rout
klick click sennit sennet
booze boos brays braise
right rite tear tare
mein main settler settlor
forward foreward lay lea
loot lute tael taille
clique klick maid made
beer bier loathe loath
sealing ceiling racquet rackett
flee flea mein main
sellar seller due do
lapse laps referents reference
days daze nay nae
fie phi lox locks
all awl flocks flocs
lean lien roes rows
fairy ferry hays haze
pane pain vise vice
please pleas rood rued
do doh joule duel
coolie coolly lea lei
baud bawd populus populace
correspondence correspondents reference referents
ail ale equivalents equivalence
leader liter sheik shake
pour poor sewer sower
oppose appose throe throw
blew blue paten pattern
heigh hey hist hissed
brays braze mutuel mutual
chine chin whorl whirl
aisle isle barre bar
hae hey pees pease
nickel nickle shear sheer
apse apps cougher coffer
cirrous cirrus planar planer
adds adze aire ayre
pries prise residents residence
mews muse wee we
caul col flew flue
galop gallop windlass windless
serous cirrus fane fain
hoard whored tier tire
incidents incidence wrest rest
frays fraise lays leas
censor censer weald wield
desert dessert politic politick
read redd wear where
heeled healed impatiens impatience
porn pawn politic politick
dude dewed massed mast
fakir faker rota rotor
cashew cachou cere sere
adolescents adolescence fat phat
born bourne expedience expedients
conch conk haik hike
ai eye sou sue
bowled bold hoes hose
mynah minor whither wither
i'll isle auk orc
foreward forward ton tonne
kill chyle knit nit
leach leech leer lear
pea pe spoor spore
muscle mussel sacques sacs
codling coddling wight wite
serrate cerate mandrel mandrill
call col pix picks
are aire dues douce
remark remarque whither wither
hoo who paid payed
cygnet signet whee wee
lean lien metal mettle
born bourn winze wins
flue flu taut taught
do dew hear here
right wright toed toad
oh owe pause pores
poor pore rows rouse
nay neigh spitz spits
band banned wane wain
phrase frays tracked tract
confectionary confectionery pique peak
board bored planar planer
chough chuff packed pact
sault sou wheal we'll
baize beys conk conch
lei lea win whin
gnu nu swot swat
aunt aren't gourd gored
wrest rest wax whacks
jest gest hymn him
lock lough mandrill mandrel
aide aid terse terce
quay key jam jamb
paste paced prise prize
brut brute sloe slow
you ewe idle idyll
burger burgher praise prase
coral choral populous populace
healed heald peon paean
mean mesne polar poler
hie high syne sine
delinquence delinquents lo low
patients patience tear tier
ooze oohs vice vise
haw whore nay neigh
senser censor sack sac
prey pray tense tents
tide tied whee wee
lee lea wright write
guild gild impassible impassable
balled bald continence continents
collared collard color culler
irrupt erupt handsome hansom
orc auk pall pawl
seeder cedar haw hoar
serrate cerate step steppe
are heir knew nu
ai eye bann ban
capital capitol leave lieve
loath loathe permanence permanents
delinquents delinquence limb limn
cote coat whirred word
might mite variants variance
bowed bode carpel carpal
disk disc lapse laps
board bored vail vale
chord cored peek peke
panne pan pease pes
bey bay douce deuce
attendance attendants yaw your
chard charred shone shown
marquee marquis neep neap
gofer gopher mask masque
chord cored shoe shoo
poof pouffe tuft toughed
joule dual loose luce
lyre lier tense tents
calix calyx dying dyeing
coquette coquet prize pries
heigh hae hawed horde
cereal serial whirred word
mane main nye nigh
jewel dual terne tern
forebear forbear rancor ranker
seel seal sics six
mac mack receipt reseat
brooch broach tel tell
course coarse fees feeze
whicker wicker wish whish
laze lays prize prise
caul call pedal peddle
coat cote populus populace
butte beaut mane mein
laager lager weal we'll
nae neigh son sun
pharaoh faro whacks wax
four fore mall maul
site cite rheumy roomie
crews cruse storey story
leys laze wale whale
calculous calculus rocky raki
bel bell sowed sewed
coin quoin sacques sacks
klick clique raiser razer
lapse laps traitoress traitorous
eyer ire pi pie
gallipot galipot tri try
disgust discussed mist missed
bold bowled clime climb
bred bread gator gaiter
pan panne row rho
mutual mutuel throw throe
census senses lays laze
gaud gourde seas sees
chronical chronicle soar sore
conquer conker throne thrown
illusion allusion grown groan
beech beach lough lock
hae hey pique peak
beech beach gally galley
eyed ide verst versed
ide eyed racquet rackett
autarky autarchy tuba tuber
epoch epic roomie rheumy
champaign champagne prior prier
sewer suer sext sexed
barren baron pootle poodle
murderous murderess wyes whys
dues juice lowed load
choir quire li lee
lox lochs stridor strider
grade grayed mot mho
lightening lightning mane mein
arc ark gofer gopher
gourde gored two to
caddie caddy tai tye
stoop stoup wether weather
assistance assistants stupe stoup
dense dents oak oke
lessen lesson talk torque
rapt wrapped roe row
cared caird wet whet
basal basil seek sic
whore hoar sacque sac
right wright weather whether
be bee bourne born
infusor infuser pique peak
faery fairy meddle medal
bin been hi high
pah pas traitoress traitorous
noes knows rude rood
pas pah vane vain
byte bight whined wind
precedents precedence stalk stork
ai eye leas leys
i'd ide burd burred
krater crater seine sane
tacked tact tease tis
forego forgo medlar meddler
calculus calculous mist missed
bold bowled whys wyes
seer cere hawed hoard
baize bays rung wrung
nickers knickers lays laze
floor flaw leis laze
base bass infusor infuser
healed heald maul mall
pressed prest sheik shake
cel cell foreward forward
mordant mordent penny penni
eyrie aerie pika pica
bow bough fro froe
joule dual male mail
par pas sought sort
mall maul tenser tensor
si see trey tray
hick hic links lynx
gnaw nor holy holey
martial marshal paten pattern
adolescents adolescence pix pics
lochs locks warred ward
burrow borough gnu nu
cosy cosey si see
far fah psychosis sycosis
nay neigh pixie pyxie
hey hay whore haw
dost dust razer razor
rumor roomer war wore
for fore leas lays
coolly coulee fair fare
incandescents incandescence whose who's
infuser infusor tenser tensor
ai eye coral choral
disperse disburse pinon pinion
pa pas troop troupe
leis lase sone sewn
burro burrow rye wry
bole boll jell gel
box bocks farmer pharma
jibe gibe strider stridor
caste cast minor miner
fluorescents florescence seamen semen
scents sense trust trussed
crumby crummy noes nose
try tri weaver weever
nigh nye rotor rota
tai tie tope taupe
pale pail throe throw
peer pier rhos rose
he'd heed reck wreck
cell sell mac mack
pidgin pigeon racket racquet
bi buy hae heigh
ayre aire fir fur
prest pressed sought sort
bolder boulder surf serf
lac lack skull scull
bused bussed hay hae
bittern bitten luce loose
roos ruse wot what
ayes eyes lei lea
cedar seeder leas lase
bawl ball home hom
jam jamb racks rax
halve have spayed spade
stayed staid trochee troche
knot not presser pressor
crummie crummy he'll heal
aes ease vise vice
ease aes mast massed
pelisse police tale tail
braze braise no know
anti auntie locks lox
find fined hi high
bye bi scent cent
heroine heroin torture torcher
pees pes watt wot
brut bruit verst versed
khan conn resistance resistants
bootee booty principle principal
pupal pupil wacks wax
senser censer hose hoes
coolly coulis cozy cosey
millenary millinery populus populous
fils fills palate pallet
gaiter gator we'll wheal
clause claws swot swat
rued rude wheel wheal
axis axes carat caret
click clique xi psi
ale ail chough chuff
bolder boulder brooch broach
lede lead teas tis
cosy cozy mho mot
correspondents correspondence heed he'd
greave grieve sun sunn
lear leer sacks sax
pica pika villein villain
curb kerb senate sennit
racks rax sewed sowed
foreword foreward viol vile
florescence fluorescents tuff tough
missus misses nae neigh
brut bruit hey hay
bald balled faery ferry
balled bald chaste chased
shot chott toxin tocsin
accidence accidents leaver lever
click klick deuce dues
politick politic staunch stanch
bise bees rite right
err er mien mean
breech breach felloe fellow
paid payed winned wind
disgust discussed yak yack
freeze frees speck spec
ore or laager lager
bitt bit pokey poky
quarts quartz wade weighed
chantey chanty mustard mustered
conquer conker lane lain
caret carrot tale tail
write right tie tai
peek pique relayed relaid
as asse caw core
here's hears white wite
caulk calk lays lase
feral ferule wether weather
have halve led lead
boll bole grizzly gristly
higher hire pox pocks
eyes ayes lea ley
heigh hay wheel wheal
yews ewes picks pics
aunt ant manner manor
bourn bourne wrang rang
guerilla gorilla wind wined
chance chants law lore
seer sere do doh
roll role root route
firs furs grosser grocer
cession session galipot gallipot
bailee bailey deuce dues
cored cord elicit illicit
remittents remittence where ware
by buy nae neigh
bridle bridal tern turn
aunt ant steer stere
rack wrack uncal uncle
bogey bogy dual jewel
draft draught pawl pall
bailor bailer instants instance
brewed brood soared sword
dual joule liter leader
sic seek way weigh
bin been pedal peddle
pause paws write wright
forego forgo owe oh
cot khat resistants resistance
dues deuce to too
jell gel sunn sun
gambol gamble psychosis sycosis
cerate serrate pensile pencil
speck spec troop troupe
rede read tell tel
beetle betel yoke yolk
calk caulk ware wear
peak pique prints prince
quire choir mean mesne
plain plane tool tulle
ore oar sink cinque
calculous calculus coulee coolie
pale pail tighter titer
clairvoyants clairvoyance hay heigh
cirrus cirrous cozy cosey
seeder cedar paws pours
quire choir puttee putty
i aye do doe
lava larva what watt
deviants deviance maser mazer
fore for uncle uncal
areal aerial ward warred
sack sacque wet whet
poler poller sunny sonny
chance chants stele steal
guise guys lock lough
pressor presser sail sale
it's its maser mazer
caddie cadi forte fought
freeze frieze sone sewn
pidgin pigeon wined wynd
cloze close verger verdure
levy levee prays praise
clique click sennit sennet
daze days flecks flex
belligerence belligerents hertz hurts
roo rue steel steal
gauge gage pique peek
wheel wheal whet wet
booze boos re ray
cete seat maser mazer
plainer planer semen seamen
pix picks raki rocky
charred chard resistance resistants
knew gnu mite might
coolie coolly strait straight
cored chord forward foreword
anti ante knap nap
bussed bused musth must
sold soled stator stater
flocks flocs sloe slow
racquet racket shyer shire
cane cain phew few
roos ruse spits spitz
meatier meteor pics pix
hom holm mesne mean
racks rax roil royal
succulence succulents taut taught
illusion allusion gourde gorde
cause caws cored cord
cellar seller tael tail
levin leaven od odd
are air cere sere
aire heir razor raiser
gourde gourd lays lase
impotents impotence insight incite
youse yews penitence penitents
hymn him strider stridor
disc disk narc nark
stele steel time thyme
brood brewed klick click
cored chord xi sigh
bailee bailie pouf poof
independence independents neigh nay
axel axle world whorled
brake break marten martin
deem deme presser pressor
baste based tow toe
cole kohl mourn morn
impatiens impatience yoke yolk
bassist basest heel he'll
cain cane quod quad
dissidence dissidents hew hue
cozy cosy use yews
bay bey hoe ho
lien lean source sauce
crummy crumby pox pocks
eyed i'd as ass
bate bait fryer friar
pane pain pes pees
coquet coquette graphed graft
flee flea mow mho
eyre air juice douce
ferule ferrule led lead
wheel wheal wish whish
florescence fluorescence him hymn
heir air floor flaw
li lea stalk stork
ore or mantle mantel
wrack rack wacks wax
dene dean hight height
auricle oracle resistor resister
roe row their there
frays fraise saver savor
aerie aery knee nee
preys prays vice vise
fees feeze relaid relayed
bus buss turn terne
sacks sacs wise wyes
slough slew wine whine
sensor senser rayed raid
flocs flocks pennants penance
here's hears swat swot
flyer flier trussed trust
baler bailor chine chin
basque bask pole poll
aire eyre speck spec
reave reeve tracked tract
sacques sacks wacks wax
burrow borough marten martin
carat caret steppe step
chair chare wry rye
alter altar hic hick
caddie caddy rheumy roomy
crumby crummy dependents dependence
cord chord rite wright
tole toll toughed tuft
launce lance polar poller
pigeon pidgin tern terne
dowse douse muscle mussel
infusor infuser paten patten
senate sennit sower sewer
die dye fees feeze
wee whee wield weald
delinquents delinquence wyes whys
penitents penitence strait straight
wrung rung told tolled
hurtle hurdle viol vial
quay key creak creek
neigh nee pale pail
hart heart lute loot
clack claque minor mynah
police pelisse ryot riot
bruise brews cay quay
narc nark warred ward
air eyre coarse course
how's house pour paw
i'd eyed bourne born
liken lichen packed pact
chased chaste tai tye
hike haik ton tun
ante auntie seal ceil
gored gaud missable miscible
gneiss nice hawed hoard
flocs flocks jell gel
hoard whored hi high
cord chord sequence sequents
rum rhumb tack tach
manor manner purist purest
bird burd reign rain
home holm try tri
counselor councilor penitence penitents
course coarse pharma farmer
done dun feet feat
new gnu squalor squaller
bomb balm wean ween
guys guise tyre tier
boy buoy pics picks
borough burro pinion pinon
meed mead plain plane
burg berg do doh
buy bi wear where
orc auk whin win
reek wreak rosery rosary
hock hough incidence incidents
eyre aire boos booze
polar poller wite white
eyer ire fills fils
he'd heed sou sue
coulis coolly haw whore
four for toed toad
none nun tee ti
braze brays whined wined
anti auntie pupil pupal
caddie caddy phew few
ai eye taut taught
glair glare sown sone
rite write winned wind
air ayre balled bald
flour flower populus populace
locks lox peak peek
nap knap leased least
heeled heald impatiens impatience
isle aisle laze leis
puttee putty we'd weed
stationery stationary versed verst
brayed braid lager laager
sics six sine sign
chary cherry roll role
buckle buccal wreck reck
moan mown whine wine
llama lama laze lase
pole poll tease teas
forebear forbear formally formerly
kyu cue pyknic picnic
heel heal pigeon pidgin
wrecks rex sew so
spar spa whither wither
bee be new gnu
laze lays soar saw
cist kissed gored gaud
laser lazar sort sought
eyed ide torcher torture
phi fie jibe gibe
grieve greave wright rite
loose luce stork stalk
manna manor potpourri popery
night knight wood would
erne urn jinks jinx
correspondence correspondents tun ton
calculous calculus intents intense
i'd eyed rhyme rime
broom brougham flew flu
mustard mustered pox pocks
pass parse raw roar
scene seen thee the
remittance remittents we've weave
peon paean viol vile
areal aerial bourne bourn
forward foreword lei lea
cashew cachou pomace pumice
appose oppose remarque remark
clique klick pea pe
froe fro instillation installation
chronical chronicle pidgin pigeon
wild wiled you're yaw
corps caw cell sell
barre bar wynn whin
lessor lesser peak pique
oh owe tern turn
pistil pistol rhos rose
conquer conker world whorled
herds hurds sennet senate
law lore leave lieve
razer razor see si
adze adds pouf pouffe
breach breech manor manner
leaver lever watt what
tease teas through threw
chorale corral hows house
heir ere more moor
pyx pics whirled world
barque bark til till
braid brayed nickers knickers
cere seer leys lase
check cheque holey holy
chary cherry presidents precedents
karat caret cist kist
parol parole therefor therefore
creek creak populus populous
apps apse bade bad
consent concent wax whacks
adolescence adolescents rondeau rondo
sink cinque maul mall
raiser razer tody toady
adulterous adulteress eyrie aery
ensure insure parr pah
leaf lief wacks wax
auk orc wheal we'll
leis lays paten pattern
i eye air are
butte beaut nob knob
exalt exult faille file
burred bird ton tun
foul fowl pain pane
populous populace whiled wiled
handmaid handmade wheal we'll
wrest rest taper tapir
rows rhos tuber tuba
nose noes your yore
bray brae foreword forward
illusion allusion plate plait
villain villein whey weigh
flocs flocks hole whole
he'd heed parole parol
cheque check cote coat
bogy bogey knew gnu
timber timbre toke toque
crumby crummie cue kyu
bi bye news gnus
ate eight retch wretch
lays leys tea tee
caw corps douce juice
brane brain brut bruit
course coarse picnic pyknic
lakh lack torture torcher
bailee bailey mi me
deviants deviance stationery stationary
eyre are moor maw
lei lea whose who's
aery airy expedients expedience
sol sole turn terne
cense cents forte fought
intents intense weed we'd
ascent assent new nu
equivalence equivalents gopher gofer
senser censer rondeau rondo
knead need wise whys
col call signet cygnet
sight site erne urn
fear fere foul fowl
discrete discreet pes pease
dependents dependence feint faint
write rite wined wynd
leis leas weld welled
philter filter instants instance
rues ruse sow sew
flew flu roos ruse
cel cell role roll
brute brut profit prophet
awk orc mutuel mutual
pique peek vein vane
forte fort leas leis
horde hoard raze raise
awe ore sou sault
parr pah rocky raki
won one praise prase
soak soke tale tail
need kneed lays laze
hawed hoard passable passible
bogie bogy indigents indigence
fir fur tact tacked
gourde gaud guys guise
grievants grievance wined whined
cite sight read redd
are ere box bocks
peke peak six sics
tail tale thrown throne
draft draught wind wined
carries caries thee the
come cum tics ticks
who hoo wheeled weald
isle aisle relayed relaid
grievance grievants much mutch
poof pouf wheel we'll
aery aerie chitin kitten
nae nay yore your
parol parole while wile
cum come wart wort
corps caw crewed crude
ayre aire brays braise
by bi serous cirrus
due dew tray trey
condescendence condescendents staph staff
fennel phenyl hole whole
planter plantar tuber tuba
lays lase prays preys
ere aire krone krona
here's hears nee neigh
bocks box holed hold
caries carries toughed tuft
mined mind road rowed
ere heir rays raise
stoop stupe ton tun
ail ale we've weave
loan lone slew slue
choc chock loathe loath
ode owed pleas please
pinion pinon praise prase
gaud gorde sty stye
eyed i'd sense scents
froe fro torte tort
phi fie fisher fissure
lore law sweet suite
bur burr got ghat
loath loathe were whir
holed hold leach leech
planter plantar steel steal
penned pend tael tale
hide hied whorl whirl
came kame hire higher
quay key moor more
i'd eyed house how's
queue kyu vail veil
lays leas might mite
marc marque mho mow
lee li sue sou
call col pea pee
fluorescence florescence weigh whey
hoo who mein main
florescence fluorescence weaver weever
heir are flecks flex
seaman seamen style stile
impotents impotence there they're
doh do remark remarque
gassed gast holy wholly
owed ode rows rouse
bays baize flu flew
earn erne semen seamen
serial cereal deuce juice
miner mynah whiled wild
lieu loo picks pix
gaiter gator lone loan
caret carrot inveighed invade
bassist basest leaven levin
ass as craft kraft
chock choc remittence remittents
baud bawd caret carrot
aye i site sight
douce deuce sol soul
bogy bogey rote wrote
adze adds rose rhos
leech leach prophesy prophecy
fayre fare pique peak
doughs does yore yaw
mutuel mutual rows rhos
fellow felloe ooze oohs
billed build terce terse
axseed accede call col
axil axle pearl purl
quoin coin plainer planer
crews cruse nun none
mantel mantle yore yaw
knot not tale tail
teas tis wee we
inductance inductants laid lade
feat feet tire tyre
graze grays pics picks
high hie peal peel
brut bruit mark marque
cheep cheap indigents indigence
braze braise laches latches
eyed i'd passible passable
cord chord weakly weekly
savor saver tire tier
reed read tai tie
nee knee soot suit
herd heard mussel muscle
pe pee pistil pistol
conquer conker furs furze
dessert desert tel tell
pees pease sibilants sibilance
limn limb tung tongue
fayre fare rays raze
fare fair liter lieder
due do fro froe
lute loot she shea
sacks sacques wale wail
sent scent impassable impossible
bettor better forgo forego
coolly coolie read redd
phreak freak tis tees
bald bawled whys wyes
overseas oversees slow sloe
fraise phrase tye tai
kraft craft holy holey
sense cense meet meat
baloney bologna roil royal
hoes hose pyx pics
mustard mustered tail tale
nous noose quarts quartz
infusor infuser pes pees
beet beat heed he'd
duel jewel meat mete
not knot wight white
xi sigh timber timbre
oar ore caird cared
cadi caddy site sight
revue review steel stele
discrete discreet pee pe
laze leas therefore therefor
lays leis referents reference
steal stele torcher torture
side sighed wynn win
descent dissent galley gally
braise brays do due
balm bomb hay hae
got ghat prey pray
cast caste stoop stupe
meeting meting presents presence
shays chaise led lead
farming pharming palette palate
axle axel miner minor
boll bowl titan tighten
are ere whack wack
ease aes chukker chucker
cosey cozy palate pallet
ayre are rabbit rabbet
midi middy sweet suite
bundt bunt dual duel
gild guild lightening lightning
felloe fellow we're weir
censor censer taut tort
ayre air stork stalk
counselor councilor whey weigh
side sighed waste waist
censer senser radicle radical
torcher torture win wynn
pedal peddle wot what
hurts hertz vain vane
sensor censer watt what
sink cinque firs furze
air ayre logger laager
laze leas presidents precedents
li lea rack wrack
prest pressed tuff tough
erne earn horse hoarse
load lode missed mist
he'll heal to too
ide eyed sail sale
berth birth phosphorous phosphorus
pie pi side sighed
cents scents cyst cist
gnu knew weed we'd
lien lean rax wracks
peek peak wined wynd
censor censer rowed road
naval navel silence silents
poor pour rhos rows
coulis coolly rose roes
borough burro hole whole
cocoa coco fluorescence florescence
heroin heroine slew slue
laches latches savor saver
leas laze paten pattern
flow floe toed towed
meat mete tenner tenor
bailee bailie feral ferule
fees feeze six sics
holey wholly ordinance ordnance
cinque sank slew slough
aire are bridle bridal
fayre fare guest guessed
elicit illicit vain vane
fair fayre soak soke
leer lear riot ryot
brain brane he'll heal
laid leid sutler subtler
auntie ante check cheque
bi bye mac mach
farrow pharaoh hic hick
knar gnar whit wit
far fah hist hissed
heel he'll picnic pyknic
hey hay sane seine
palette pallet piece peace
buy bi door dor
cant can't viol vile
leaf lief whey way
maw more salver salvor
axil axel mete meet
row roe torte taut
bloc block where ware
calculus calculous tool tulle
fane feign sack sac
kraft craft shire shyer
chyle kill coulis coolie
forbear forebear si see
peak peke wrecks rex
coolie coolly write rite
aire heir wyes wise
canvas canvass tri try
bored board haze hays
attendants attendance flack flak
boos booze wise whys
instance instants spaed spayed
grieve greave steal steel
bailee bailie disc disk
ass as read red
ere eyre genes jeans
quoin coin fir fur
broach brooch taupe tope
invade inveighed tri try
kitten chitin vile vial
axel axil laid lade
you yew sees seas
dues deuce teil teal
hose hoes they're their
lama llama tier tire
cirrus serous strider stridor
acceptor accepter bourn born
dowse douse sword soared
arc ark caste cast
check cheque purest purist
mantel mantle tact tacked
coulee coolly mined mind
bettor better spitz spits
yews ewes hi hie
laager logger rued rood
ere are per purr
are eyre pox pocks
impatience impatiens load lode
base bass rose roes
verses versus whirled whorled
airy aerie paten patten
furs firs unreel unreal
manner manor whey weigh
aire are saccharin saccharine
lakh lac rheumy roomie
coal kohl cokes coax
rackett racket variants variance
earn urn exult exalt
by bye mow mho
hue hew sonny sunny
re ray weather wether
muscle mussel tee ti
axis axes syne sine
buoy boy syne sign
wheel we'll whined wined
deviser devisor prase praise
kraft craft populous populus
scent cent correspondents correspondence
balm bomb reck wreck
awk orc bogie bogy
whore haw palette palate
canopy canape gourde gourd
sennit sennet tax tacks
band banned tracked tract
seal ceil tye tie
retard retarred ward warred
gaud gourde hurdle hurtle
clapboard clabbered xi psi
faker fakir remarque remark
noose nous what watt
casque cask pearl purl
hike haik moan mown
senser censer gilled guild
rackett racquet villain villein
formerly formally wight white
ads adze maw moor
dentil dental mussed musth
augur auger site sight
mantel mantle warrantee warranty
oversees overseas sewed sowed
capitol capital their there
calk caulk sink cinque
cosy cosey mean mesne
knar gnar loan lone
fees feeze throw throe
jewel dual lier liar
tope taupe vane vein
joule duel pawl pall
pattern patten silents silence
crummy crummie tun tonne
bode bowed leek leak
champagne champaign stere steer
leis laze sheik shake
tort taught white wite
bray brae kame came
matte mat reed rede
session cession turn tern
senser sensor poler polar
erk irk peon paean
senses census trochee troche
chance chants serf surf
dependents dependence tease tis
disburse disperse sign sine
bailer bailor fennel phenyl
queue cue disk disc
sower sewer tail taille
senser censor wheeled weald
ait ate vale veil
sleave sleeve taper tapir
ass asse caul col
bread bred nose knows
bridal bridle lay ley
flew flue instance instants
accede axseed form forme
flacks flax toady tody
hock hough polar poller
fie phi healed heeled
gild guild leaf lief
marc marque mutuel mutual
titan tighten toke toque
kissed kist knob nob
hoe ho leid laid
lase lays staunch stanch
tailer tailor worn warn
shoot chute floe flow
row rho troupe troop
healed heald tort taught
rapt wrapped weir we're
massed mast mead meed
anti ante cel cell
intents intense picks pyx
mot mho please pleas
coquet coquette steal stele
lama llama wring ring
aire heir oar awe
analyst annalist cite sight
farmer pharma pic pick
bark barque bee be
gally galley populace populous
bitt bit gourd gored
racquet racket stele steel
jewel duel phi fie
payed paid pray prey
aught ought tride tried
bruise brews torte taught
hail hale have halve
leis laze veil vail
all awl gourd gourde
bizarre bazaar missal missile
brut brute elicit illicit
camera camara see sea
bouillon bullion wynn whin
orc awk do dew
hurts hertz lochs lox
clew clue wot what
mow mot wack whack
cosy cosey lyse lice
flocks flocs minor miner
site cite preys prays
boy buoy their they're
aes ease y'all yawl
adolescents adolescence braid brayed
hail hale wight white
are eyre taught tort
auricle oracle mince mints
farmer pharma fate fete
independence independents pe pea
pax packs remittents remittence
haze hays wild whiled
hi hie si see
phiz fizz maw moor
lac lack links lynx
nob knob wail whale
deuce dues poodle pootle
caret carrot remittents remittance
mynah miner sutler subtler
remittance remittence whine wine
axseed accede doe doh
penance pennants weakly weekly
hawed whored veil vale
lien lean pouffe pouf
been bin caul call
airy aerie calculus calculous
mourning morning reign rein
brays braise nay nee
read red wyes whys
grisly grizzly wile while
chyle kill win wynn
him hymn pare pair
lager laager plural pleural
fakir faker fluorescents fluorescence
cruise cruse succulence succulents
blair blare brews bruise
fennel phenyl resistor resister
hail hale tort taught
calendar calender fare fair
oral aural due dew
rows rose sects sex
guerilla gorilla sail sale
lack lac road rode
pallet palate parred pard
orc awk bald balled
senser sensor slow sloe
dew do dual duel
galipot gallipot patients patience
gnu knew whored hoard
graphed graft might mite
nee knee mordent mordant
fore for summary summery
haul hall licked licht
base bass valence valance
coulee coulis sacques sacs
pix pyx poller poler
ale ail douse dowse
collared collard lear leer
ease aes tooter tutor
reign rein tody toady
call col time thyme
collar choler cosey cosy
bight byte hurdle hurtle
xi scye tonne tun
mazer maser weld welled
aery airy ante auntie
cere seer wright write
massed mast sign syne
pix pics steel stele
douce juice pan panne
ayre air vile vial
accede axseed firs furze
call caul instance instants
peak peke roomy roomie
cist kissed feat feet
altar alter furs furze
find fined pour paw
their there whirred word
deviance deviants leased least
by bi suit soot
senses census marquee marquis
divisor deviser erne urn
frank franc seaman seamen
gest jest rancor ranker
chucker chukker right write
levin leaven sibilants sibilance
heroin heroine peke pique
brute bruit seam seem
rung wrung sine sign
fain fane wall waul
fairy ferry horde hawed
surf serf valance valence
bogy bogey sire sigher
frays phrase sol soul
bailey bailie steak stake
camara camera whiled wiled
caw corps heroine heroin
use ewes psi sigh
owed ode pic pick
beaut butte cruse crews
bann ban bard barred
canter cantor rough ruff
calculus calculous hoar haw
nickers knickers manner manna
aire ere your you're
fie phi you're yore
cyst cist clack claque
choral coral dour dower
i'd eyed draft draught
bailee bailey sunn son
fair fayre marque mark
borough burro tix ticks
gaud gored liar lyre
flock floc gaud gourde
apse apps chiton kitten
deviser divisor pour paw
haul hall morn mourn
pease pees tough tuff
haw whore nave knave
cubicle cubical sex sects
bad bade serrate cerate
purse perse scye xi
seaman semen settler settlor
jewel dual raw roar
seem seam tack tach
lase laze ware wear
aery eyrie viscous viscus
stayed stade there their
sashay sachet wite wight
installation instillation mowed mode
leas leys weld welled
rang wrang tease teas
plum plumb sire sigher
nose knows mac mack
draft draught skull scull
dust dost dual jewel
allowed aloud rabbet rabbit
paten patten repeal repeel
guys guise tees tease
pease pes staid stade
handsome hansom wise whys
dependence dependents pain pane
mask masque slay sleigh
furs firs sibilants sibilance
prier prior slight sleight
overdo overdue raze rays
brute bruit petrel petrol
browse brows duel dual
prase praise tease tis
bused bust parse pass
adventurous adventuress wish whish
axle axil come cum
joule jewel mourn morn
height hight she shea
bread bred calculous calculus
rapt wrapped tie tai
bailee bailey continents continence
air heir bass base
censor sensor sibilance sibilants
ait ate bruit brut
brut bruit sennit senate
cere sere deer dear
colonel kernel instillation installation
hie hi serge surge
pew pugh sue sault
hows house weir we're
hose hoes ti tee
brane brain lacks lax
fort forte taught tort
dissidents dissidence heeled healed
cougher coffer inductants inductance
sent scent read red
incidents incidence lei lay
offal awful break brake
accepter acceptor pease pees
censor senser role roll
hansom handsome kite kyte
knickers nickers vile viol
gin jinn tor tore
close cloze poodle pootle
aery eyrie whorled whirled
bold bowled ghat got
